comparates,Stat|STL–SN,Transformer|STL–SN,Stat|Direct,Stat|STL–AC,Transformer|STL–AC,Transformer|Direct,ML|Direct,Neural|Direct,Neural|STL–SN,Neural|STL–AC,ML|STL–AC,ML|STL–SN
Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0020
1842 / 0 / 1158
 $\leq$ 1e-04","-0.0070
1157 / 0 / 1843
 $\leq$ 1e-04","-0.0205
1372 / 0 / 1628
 $\leq$ 1e-04","-0.0296
1475 / 0 / 1525
0.1662","-0.0686
2072 / 0 / 928
 $\leq$ 1e-04","-0.0753
2075 / 0 / 925
 $\leq$ 1e-04","-0.0789
2077 / 0 / 923
 $\leq$ 1e-04","-0.1518
2196 / 0 / 804
 $\leq$ 1e-04","-0.1609
1967 / 0 / 1033
 $\leq$ 1e-04","-0.2181
2031 / 0 / 969
 $\leq$ 1e-04","-0.2317
2194 / 0 / 806
 $\leq$ 1e-04"
Transformer|STL–SN,"0.0020
1158 / 0 / 1842
 $\leq$ 1e-04",-,"-0.0049
1146 / 0 / 1854
 $\leq$ 1e-04","-0.0184
1310 / 0 / 1690
 $\leq$ 1e-04","-0.0276
1390 / 0 / 1610
0.0004","-0.0666
2038 / 0 / 962
 $\leq$ 1e-04","-0.0733
2054 / 0 / 946
 $\leq$ 1e-04","-0.0769
2053 / 0 / 947
 $\leq$ 1e-04","-0.1498
2199 / 0 / 801
 $\leq$ 1e-04","-0.1588
1961 / 0 / 1039
 $\leq$ 1e-04","-0.2161
2033 / 0 / 967
 $\leq$ 1e-04","-0.2297
2243 / 0 / 757
 $\leq$ 1e-04"
Stat|Direct,"0.0070
1843 / 0 / 1157
 $\leq$ 1e-04","0.0049
1854 / 0 / 1146
 $\leq$ 1e-04",-,"-0.0135
1798 / 0 / 1202
 $\leq$ 1e-04","-0.0227
1821 / 0 / 1179
 $\leq$ 1e-04","-0.0616
2039 / 0 / 961
 $\leq$ 1e-04","-0.0683
2045 / 0 / 955
 $\leq$ 1e-04","-0.0719
2047 / 1 / 952
 $\leq$ 1e-04","-0.1448
2129 / 0 / 871
 $\leq$ 1e-04","-0.1539
2097 / 0 / 903
 $\leq$ 1e-04","-0.2112
2133 / 0 / 867
 $\leq$ 1e-04","-0.2248
2192 / 0 / 808
 $\leq$ 1e-04"
Stat|STL–AC,"0.0205
1628 / 0 / 1372
 $\leq$ 1e-04","0.0184
1690 / 0 / 1310
 $\leq$ 1e-04","0.0135
1202 / 0 / 1798
 $\leq$ 1e-04",-,"-0.0092
1823 / 1 / 1176
 $\leq$ 1e-04","-0.0481
2088 / 0 / 912
 $\leq$ 1e-04","-0.0548
2099 / 0 / 901
 $\leq$ 1e-04","-0.0584
2102 / 0 / 898
 $\leq$ 1e-04","-0.1313
2223 / 0 / 777
 $\leq$ 1e-04","-0.1404
2199 / 0 / 801
 $\leq$ 1e-04","-0.1977
2151 / 0 / 849
 $\leq$ 1e-04","-0.2113
2257 / 0 / 743
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0296
1525 / 0 / 1475
0.1662","0.0276
1610 / 0 / 1390
0.0004","0.0227
1179 / 0 / 1821
 $\leq$ 1e-04","0.0092
1176 / 1 / 1823
 $\leq$ 1e-04",-,"-0.0390
2065 / 0 / 935
 $\leq$ 1e-04","-0.0457
2073 / 0 / 927
 $\leq$ 1e-04","-0.0493
2081 / 0 / 919
 $\leq$ 1e-04","-0.1222
2212 / 0 / 788
 $\leq$ 1e-04","-0.1312
2156 / 0 / 844
 $\leq$ 1e-04","-0.1885
2173 / 0 / 827
 $\leq$ 1e-04","-0.2021
2262 / 0 / 738
 $\leq$ 1e-04"
Transformer|Direct,"0.0686
928 / 0 / 2072
 $\leq$ 1e-04","0.0666
962 / 0 / 2038
 $\leq$ 1e-04","0.0616
961 / 0 / 2039
 $\leq$ 1e-04","0.0481
912 / 0 / 2088
 $\leq$ 1e-04","0.0390
935 / 0 / 2065
 $\leq$ 1e-04",-,"-0.0067
1811 / 13 / 1176
 $\leq$ 1e-04","-0.0103
1979 / 9 / 1012
 $\leq$ 1e-04","-0.0832
1624 / 0 / 1376
 $\leq$ 1e-04","-0.0923
1436 / 0 / 1564
0.0010","-0.1495
1674 / 1 / 1325
 $\leq$ 1e-04","-0.1631
1916 / 0 / 1084
 $\leq$ 1e-04"
ML|Direct,"0.0753
925 / 0 / 2075
 $\leq$ 1e-04","0.0733
946 / 0 / 2054
 $\leq$ 1e-04","0.0683
955 / 0 / 2045
 $\leq$ 1e-04","0.0548
901 / 0 / 2099
 $\leq$ 1e-04","0.0457
927 / 0 / 2073
 $\leq$ 1e-04","0.0067
1176 / 13 / 1811
 $\leq$ 1e-04",-,"-0.0036
1787 / 8 / 1205
 $\leq$ 1e-04","-0.0765
1569 / 0 / 1431
 $\leq$ 1e-04","-0.0855
1379 / 0 / 1621
0.0789","-0.1428
1651 / 0 / 1349
 $\leq$ 1e-04","-0.1564
1879 / 0 / 1121
 $\leq$ 1e-04"
Neural|Direct,"0.0789
923 / 0 / 2077
 $\leq$ 1e-04","0.0769
947 / 0 / 2053
 $\leq$ 1e-04","0.0719
952 / 1 / 2047
 $\leq$ 1e-04","0.0584
898 / 0 / 2102
 $\leq$ 1e-04","0.0493
919 / 0 / 2081
 $\leq$ 1e-04","0.0103
1012 / 9 / 1979
 $\leq$ 1e-04","0.0036
1205 / 8 / 1787
 $\leq$ 1e-04",-,"-0.0729
1514 / 0 / 1486
 $\leq$ 1e-04","-0.0819
1360 / 0 / 1640
0.3651","-0.1392
1617 / 0 / 1383
 $\leq$ 1e-04","-0.1528
1855 / 0 / 1145
 $\leq$ 1e-04"
Neural|STL–SN,"0.1518
804 / 0 / 2196
 $\leq$ 1e-04","0.1498
801 / 0 / 2199
 $\leq$ 1e-04","0.1448
871 / 0 / 2129
 $\leq$ 1e-04","0.1313
777 / 0 / 2223
 $\leq$ 1e-04","0.1222
788 / 0 / 2212
 $\leq$ 1e-04","0.0832
1376 / 0 / 1624
 $\leq$ 1e-04","0.0765
1431 / 0 / 1569
 $\leq$ 1e-04","0.0729
1486 / 0 / 1514
 $\leq$ 1e-04",-,"-0.0090
1212 / 0 / 1788
 $\leq$ 1e-04","-0.0663
1767 / 0 / 1233
 $\leq$ 1e-04","-0.0799
2259 / 0 / 741
 $\leq$ 1e-04"
Neural|STL–AC,"0.1609
1033 / 0 / 1967
 $\leq$ 1e-04","0.1588
1039 / 0 / 1961
 $\leq$ 1e-04","0.1539
903 / 0 / 2097
 $\leq$ 1e-04","0.1404
801 / 0 / 2199
 $\leq$ 1e-04","0.1312
844 / 0 / 2156
 $\leq$ 1e-04","0.0923
1564 / 0 / 1436
0.0010","0.0855
1621 / 0 / 1379
0.0789","0.0819
1640 / 0 / 1360
0.3651","0.0090
1788 / 0 / 1212
 $\leq$ 1e-04",-,"-0.0573
2145 / 0 / 855
 $\leq$ 1e-04","-0.0709
2215 / 0 / 785
 $\leq$ 1e-04"
ML|STL–AC,"0.2181
969 / 0 / 2031
 $\leq$ 1e-04","0.2161
967 / 0 / 2033
 $\leq$ 1e-04","0.2112
867 / 0 / 2133
 $\leq$ 1e-04","0.1977
849 / 0 / 2151
 $\leq$ 1e-04","0.1885
827 / 0 / 2173
 $\leq$ 1e-04","0.1495
1325 / 1 / 1674
 $\leq$ 1e-04","0.1428
1349 / 0 / 1651
 $\leq$ 1e-04","0.1392
1383 / 0 / 1617
 $\leq$ 1e-04","0.0663
1233 / 0 / 1767
 $\leq$ 1e-04","0.0573
855 / 0 / 2145
 $\leq$ 1e-04",-,"-0.0136
1940 / 0 / 1060
 $\leq$ 1e-04"
ML|STL–SN,"0.2317
806 / 0 / 2194
 $\leq$ 1e-04","0.2297
757 / 0 / 2243
 $\leq$ 1e-04","0.2248
808 / 0 / 2192
 $\leq$ 1e-04","0.2113
743 / 0 / 2257
 $\leq$ 1e-04","0.2021
738 / 0 / 2262
 $\leq$ 1e-04","0.1631
1084 / 0 / 1916
 $\leq$ 1e-04","0.1564
1121 / 0 / 1879
 $\leq$ 1e-04","0.1528
1145 / 0 / 1855
 $\leq$ 1e-04","0.0799
741 / 0 / 2259
 $\leq$ 1e-04","0.0709
785 / 0 / 2215
 $\leq$ 1e-04","0.0136
1060 / 0 / 1940
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
