comparates,Transformer|Direct,ML|Direct,Neural|Direct,Transformer|STL–SN,Stat|STL–SN,Stat|Direct,Neural|STL–SN,ML|STL–SN,ML|STL–AC,Neural|STL–AC,Stat|STL–AC,Transformer|STL–AC
Transformer|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value","-0.0009
481 / 3 / 659
0.0393","-0.0042
758 / 3 / 382
 $\leq$ 1e-04","-0.0198
532 / 0 / 611
0.0646","-0.0243
525 / 0 / 618
0.0420","-0.0295
434 / 0 / 709
 $\leq$ 1e-04","-0.0434
589 / 0 / 554
0.0113","-0.0610
585 / 0 / 558
0.0006","-0.0651
470 / 0 / 673
0.0389","-0.0747
506 / 0 / 637
0.4683","-0.0775
490 / 0 / 653
0.0164","-0.0829
488 / 0 / 655
0.1214"
ML|Direct,"0.0009
659 / 3 / 481
0.0393",-,"-0.0033
723 / 3 / 417
 $\leq$ 1e-04","-0.0188
527 / 0 / 616
0.0671","-0.0234
525 / 0 / 618
0.0393","-0.0286
430 / 0 / 713
 $\leq$ 1e-04","-0.0425
589 / 0 / 554
0.0151","-0.0601
590 / 0 / 553
0.0010","-0.0641
469 / 0 / 674
0.0264","-0.0737
503 / 0 / 640
0.3798","-0.0766
482 / 0 / 661
0.0136","-0.0820
487 / 0 / 656
0.1080"
Neural|Direct,"0.0042
382 / 3 / 758
 $\leq$ 1e-04","0.0033
417 / 3 / 723
 $\leq$ 1e-04",-,"-0.0155
524 / 0 / 619
0.0211","-0.0201
512 / 0 / 631
0.0109","-0.0253
423 / 0 / 720
 $\leq$ 1e-04","-0.0392
579 / 0 / 564
0.1285","-0.0568
575 / 0 / 568
0.0131","-0.0608
462 / 0 / 681
0.0087","-0.0704
497 / 0 / 646
0.2026","-0.0733
479 / 0 / 664
0.0058","-0.0787
490 / 0 / 653
0.0563"
Transformer|STL–SN,"0.0198
611 / 0 / 532
0.0646","0.0188
616 / 0 / 527
0.0671","0.0155
619 / 0 / 524
0.0211",-,"-0.0046
524 / 0 / 619
0.2550","-0.0098
466 / 0 / 677
 $\leq$ 1e-04","-0.0237
638 / 0 / 505
 $\leq$ 1e-04","-0.0413
637 / 0 / 506
 $\leq$ 1e-04","-0.0453
559 / 0 / 584
0.8819","-0.0549
563 / 0 / 580
0.3644","-0.0578
501 / 0 / 642
0.0547","-0.0632
534 / 0 / 609
0.1891"
Stat|STL–SN,"0.0243
618 / 0 / 525
0.0420","0.0234
618 / 0 / 525
0.0393","0.0201
631 / 0 / 512
0.0109","0.0046
619 / 0 / 524
0.2550",-,"-0.0052
460 / 0 / 683
 $\leq$ 1e-04","-0.0191
644 / 0 / 499
 $\leq$ 1e-04","-0.0367
642 / 0 / 501
 $\leq$ 1e-04","-0.0408
556 / 0 / 587
0.9573","-0.0504
566 / 0 / 577
0.3266","-0.0532
481 / 0 / 662
0.0101","-0.0586
513 / 0 / 630
0.0919"
Stat|Direct,"0.0295
709 / 0 / 434
 $\leq$ 1e-04","0.0286
713 / 0 / 430
 $\leq$ 1e-04","0.0253
720 / 0 / 423
 $\leq$ 1e-04","0.0098
677 / 0 / 466
 $\leq$ 1e-04","0.0052
683 / 0 / 460
 $\leq$ 1e-04",-,"-0.0139
724 / 0 / 419
 $\leq$ 1e-04","-0.0315
736 / 0 / 407
 $\leq$ 1e-04","-0.0356
706 / 0 / 437
 $\leq$ 1e-04","-0.0451
730 / 0 / 413
 $\leq$ 1e-04","-0.0480
684 / 0 / 459
 $\leq$ 1e-04","-0.0534
699 / 0 / 444
 $\leq$ 1e-04"
Neural|STL–SN,"0.0434
554 / 0 / 589
0.0113","0.0425
554 / 0 / 589
0.0151","0.0392
564 / 0 / 579
0.1285","0.0237
505 / 0 / 638
 $\leq$ 1e-04","0.0191
499 / 0 / 644
 $\leq$ 1e-04","0.0139
419 / 0 / 724
 $\leq$ 1e-04",-,"-0.0176
666 / 0 / 477
 $\leq$ 1e-04","-0.0217
513 / 0 / 630
0.0008","-0.0313
488 / 0 / 655
0.0001","-0.0341
469 / 0 / 674
 $\leq$ 1e-04","-0.0395
492 / 0 / 651
0.0002"
ML|STL–SN,"0.0610
558 / 0 / 585
0.0006","0.0601
553 / 0 / 590
0.0010","0.0568
568 / 0 / 575
0.0131","0.0413
506 / 0 / 637
 $\leq$ 1e-04","0.0367
501 / 0 / 642
 $\leq$ 1e-04","0.0315
407 / 0 / 736
 $\leq$ 1e-04","0.0176
477 / 0 / 666
 $\leq$ 1e-04",-,"-0.0041
420 / 0 / 723
 $\leq$ 1e-04","-0.0137
441 / 0 / 702
 $\leq$ 1e-04","-0.0165
464 / 0 / 679
 $\leq$ 1e-04","-0.0219
472 / 0 / 671
 $\leq$ 1e-04"
ML|STL–AC,"0.0651
673 / 0 / 470
0.0389","0.0641
674 / 0 / 469
0.0264","0.0608
681 / 0 / 462
0.0087","0.0453
584 / 0 / 559
0.8819","0.0408
587 / 0 / 556
0.9573","0.0356
437 / 0 / 706
 $\leq$ 1e-04","0.0217
630 / 0 / 513
0.0008","0.0041
723 / 0 / 420
 $\leq$ 1e-04",-,"-0.0096
532 / 0 / 611
0.6470","-0.0124
569 / 0 / 574
0.5990","-0.0178
559 / 0 / 584
0.5271"
Neural|STL–AC,"0.0747
637 / 0 / 506
0.4683","0.0737
640 / 0 / 503
0.3798","0.0704
646 / 0 / 497
0.2026","0.0549
580 / 0 / 563
0.3644","0.0504
577 / 0 / 566
0.3266","0.0451
413 / 0 / 730
 $\leq$ 1e-04","0.0313
655 / 0 / 488
0.0001","0.0137
702 / 0 / 441
 $\leq$ 1e-04","0.0096
611 / 0 / 532
0.6470",-,"-0.0028
513 / 0 / 630
0.0296","-0.0083
565 / 0 / 578
0.5708"
Stat|STL–AC,"0.0775
653 / 0 / 490
0.0164","0.0766
661 / 0 / 482
0.0136","0.0733
664 / 0 / 479
0.0058","0.0578
642 / 0 / 501
0.0547","0.0532
662 / 0 / 481
0.0101","0.0480
459 / 0 / 684
 $\leq$ 1e-04","0.0341
674 / 0 / 469
 $\leq$ 1e-04","0.0165
679 / 0 / 464
 $\leq$ 1e-04","0.0124
574 / 0 / 569
0.5990","0.0028
630 / 0 / 513
0.0296",-,"-0.0054
665 / 1 / 477
 $\leq$ 1e-04"
Transformer|STL–AC,"0.0829
655 / 0 / 488
0.1214","0.0820
656 / 0 / 487
0.1080","0.0787
653 / 0 / 490
0.0563","0.0632
609 / 0 / 534
0.1891","0.0586
630 / 0 / 513
0.0919","0.0534
444 / 0 / 699
 $\leq$ 1e-04","0.0395
651 / 0 / 492
0.0002","0.0219
671 / 0 / 472
 $\leq$ 1e-04","0.0178
584 / 0 / 559
0.5271","0.0083
578 / 0 / 565
0.5708","0.0054
477 / 1 / 665
 $\leq$ 1e-04","If in bold, then
p-value < 0.05"
