feature,decomposition,delta_spread,low,medium,high
Evolving seasonality (φ₄),STL–SeasonalNaive,0.1766434489251619,0.10111146849114445,-0.06990637434526129,-0.07553198043401745
Spectral entropy (φ₃),STL–AllComponents,0.1226551781505184,-0.09889530027300533,-0.009996366505837352,0.02375987787751307
ARCH / volatility (φ₆),STL–SeasonalNaive,0.10745396425631001,0.035230283194359925,0.00523299481680388,-0.0722236810619501
Spectral entropy (φ₃),STL–SeasonalNaive,0.0903563786781604,-0.07028057975479612,0.02007579892336428,0.018347529897215817
ARCH / volatility (φ₆),STL–AllComponents,0.0898220270993807,0.00952854713965906,-0.005811563831884004,-0.08029347995972164
Non-normality (φ₁),STL–AllComponents,0.04854337766609383,0.008518980904245532,-0.016133899072143982,-0.040024396761848303
Structural break (φ₅),STL–SeasonalNaive,0.04799315661128194,0.02089038050162897,-0.014617658431764085,-0.027102776109652962
Structural break (φ₅),STL–AllComponents,0.04417202307178199,-0.0034631575295208617,-0.03606414848228221,-0.04763518060130285
Evolving seasonality (φ₄),STL–AllComponents,0.04231247648575365,-0.005771285790036221,-0.04028809940157778,-0.048083762275789865
Non-normality (φ₁),STL–SeasonalNaive,0.026069156880079557,0.0073209493794661505,0.0015956907546436844,-0.018748207500613408
Nonlinearity (φ₂),STL–SeasonalNaive,0.009255608018896761,-0.004879712862063624,,0.004375895156833138
Nonlinearity (φ₂),STL–AllComponents,0.00820324441784555,-0.02138181942739499,,-0.01317857500954944
